index,Actual,Upper End of Range,Upper End of Central Tendency,Median,Lower End of Central Tendency,Lower End of Range
2017,2.7,,,,,
2018,2.3,,,,,
2019,2.6,,,,,
2020,-2.3,,,,,
2021,5.5,,,,,
2022,,.5,.3,.2,.1,.0
2023,,1.9,1.5,1.2,.5,-.3
2024,,2.6,2.0,1.7,1.4,1.0
2025,,2.4,2.0,1.8,1.6,1.4
Longer run,,2.2,2.0,1.8,1.7,1.6
