index,Actual,Upper End of Range,Upper End of Central Tendency,Median,Lower End of Central Tendency,Lower End of Range
2017,1.9,,,,,
2018,2.0,,,,,
2019,1.5,,,,,
2020,1.2,,,,,
2021,5.5,,,,,
2022,,6.2,5.7,5.4,5.3,5.0
2023,,4.1,3.5,2.8,2.6,2.4
2024,,3.0,2.6,2.3,2.1,2.0
2025,,2.5,2.2,2.0,2.0,2.0
Longer run,,2.0,2.0,2.0,2.0,2.0
